id,name,email,age,city,salary,active,created_at,col_0,col_1,col_2,col_3
61,Pyxwjiql,user60@example.com,26,San Antonio,188671.2,true,2024-09-13,202.61,894.05,634.45,661.02
62,Oozdzidf,user61@example.com,66,Houston,90821.2,false,2024-09-09,354.57,359.92,89.55,539.25
63,Zqzobgya,user62@example.com,45,San Diego,125215.57,false,2024-01-09,771.27,889.96,447.91,404.27
64,Dqlsgxgr,user63@example.com,27,San Diego,33437.47,true,2024-12-07,449.18,100.72,367.43,507.82
65,Uzebfmaz,user64@example.com,51,New York,125832.86,false,2024-07-23,227.96,523.23,983.92,751.29
66,Aiiwhgvv,user65@example.com,46,New York,103495.66,true,2024-04-08,159.33,581.54,936.25,338.99
67,Juuqpein,user66@example.com,19,New York,197696.72,false,2024-03-16,692.93,549.27,53.93,957.94
68,Whskuaxb,user67@example.com,45,Philadelphia,104720.04,true,2024-09-13,694.62,390.27,476.6,205.15
69,Joypeoto,user68@example.com,31,Houston,40601.86,false,2024-12-23,611.12,184.08,571.3,159.7
70,Tvmzrasm,user69@example.com,43,Los Angeles,127645.71,false,2024-01-22,432.63,308.6,163.73,320.73
71,Apvlgqwu,user70@example.com,40,Chicago,195464.23,true,2024-02-02,122.03,377.4,559.65,405.94
72,Qbxummuk,user71@example.com,42,Los Angeles,143569.27,true,2024-06-23,551.26,192.6,211.69,755.17
73,Tfarbwav,user72@example.com,42,Phoenix,153957.21,true,2024-01-08,410.35,879.44,317.79,20.39
74,Akhtweul,user73@example.com,20,San Diego,150499.37,false,2024-06-14,990.81,349.82,544.58,512.11
75,Wzjvrjay,user74@example.com,34,San Diego,125807.52,false,2024-06-15,719.1,477.7,732.29,244.03
76,Qesvcwrp,user75@example.com,28,Philadelphia,76497.37,true,2024-03-21,195.9,464.44,549.78,926.92
77,Vlpivjuc,user76@example.com,50,Phoenix,145748.22,true,2024-03-04,145.75,880.85,692.43,415.46
78,Pfssasba,user77@example.com,51,Houston,170194.37,true,2024-02-21,961.57,501.04,93.0,462.4
79,Pkqmrtup,user78@example.com,20,Philadelphia,48235.26,false,2024-01-20,353.79,133.44,422.58,403.31
80,Tkatlyui,user79@example.com,25,Chicago,122551.95,true,2024-08-08,494.21,346.02,171.34,526.01
81,Mpjxztrc,user80@example.com,53,San Diego,63357.23,false,2024-11-03,878.61,954.13,270.25,791.4
82,Cemmabpq,user81@example.com,26,Chicago,166011.14,false,2024-04-14,167.96,302.14,108.47,832.71
83,Cncsjpuo,user82@example.com,40,Houston,62901.56,false,2024-07-28,866.6,44.05,881.34,378.17
84,Wzabxxtc,user83@example.com,38,San Antonio,168481.22,true,2024-12-05,204.72,849.01,901.1,360.11
85,Nnmtasnc,user84@example.com,69,Philadelphia,147095.49,false,2024-12-13,153.23,672.41,862.01,170.35
86,Qlwyzxkc,user85@example.com,60,San Diego,137543.33,true,2024-06-02,975.82,473.88,367.56,286.38
87,Icfaanij,user86@example.com,31,Philadelphia,138404.7,false,2024-10-10,354.2,727.07,745.72,664.45
88,Txxggzkl,user87@example.com,27,Phoenix,67223.58,false,2024-04-28,401.82,762.96,535.81,430.29
89,Wmshjtta,user88@example.com,32,Houston,198674.44,true,2024-07-19,11.93,890.02,423.61,989.75
90,Jlncoydf,user89@example.com,50,Chicago,184350.69,false,2024-07-22,909.52,503.49,649.8,62.2
91,Vootiahd,user90@example.com,19,Phoenix,70209.93,false,2024-03-03,786.37,776.59,17.87,426.37
92,Mejcuizw,user91@example.com,23,Philadelphia,31031.62,false,2024-08-10,429.41,767.28,988.5,826.47
93,Uuiaixwz,user92@example.com,35,New York,187160.22,false,2024-07-07,939.76,688.93,588.89,486.83
94,Smjsrvnw,user93@example.com,32,San Antonio,181673.82,false,2024-02-17,334.65,632.54,275.09,597.38
95,Tygylwon,user94@example.com,27,Los Angeles,59610.15,true,2024-03-19,95.49,619.5,327.22,990.38
96,Uidasjba,user95@example.com,51,Chicago,162684.9,false,2024-07-11,121.53,816.21,246.19,318.41
97,Hybmtfij,user96@example.com,33,Philadelphia,59171.49,false,2024-02-17,551.31,491.4,710.49,246.14
98,Ksdnwcfy,user97@example.com,38,San Diego,129421.34,true,2024-01-25,271.18,790.81,947.67,301.37
99,Lslnuzrt,user98@example.com,62,San Antonio,131761.72,false,2024-11-15,693.83,31.96,889.87,708.09
100,Mnatkixc,user99@example.com,30,Phoenix,78828.29,true,2024-02-13,445.73,379.03,967.55,688.91
101,Qyjdjuxm,user100@example.com,36,New York,84604.24,false,2024-12-28,868.76,63.56,932.93,528.62
102,Ctiendty,user101@example.com,50,Philadelphia,141133.48,true,2024-06-06,646.65,418.34,524.98,613.57
103,Eqqvqftw,user102@example.com,36,San Diego,90811.01,false,2024-09-10,157.05,682.86,378.55,430.59
104,Pxhxmtps,user103@example.com,33,Los Angeles,72369.2,false,2024-12-24,937.66,726.37,840.75,221.89
105,Ttuacpqn,user104@example.com,18,Los Angeles,73951.45,true,2024-01-25,783.33,456.91,22.19,77.48
106,Erpynpka,user105@example.com,42,San Diego,93061.36,false,2024-03-15,638.33,736.37,313.58,371.69
107,Nkvtmgiy,user106@example.com,29,Houston,41142.17,true,2024-11-11,246.0,723.07,276.75,822.38
108,Ieqxlrnj,user107@example.com,24,Houston,176277.64,true,2024-08-25,732.86,56.96,490.5,715.96
109,Dpeuzqwj,user108@example.com,31,Philadelphia,173091.54,false,2024-09-07,40.41,994.5,408.37,677.61
110,Tconzszz,user109@example.com,51,San Diego,57419.8,false,2024-04-06,285.8,387.19,104.34,679.75
111,Jjxbebut,user110@example.com,33,San Antonio,66022.3,false,2024-03-11,555.06,532.75,542.79,683.05
112,Exdbweki,user111@example.com,72,Philadelphia,94243.55,true,2024-01-06,639.14,81.6,785.26,549.13
113,Osnzqxkr,user112@example.com,63,Los Angeles,108244.67,true,2024-01-05,677.13,490.19,169.16,424.47
114,Ibtsnxwv,user113@example.com,63,Los Angeles,146651.1,false,2024-09-12,17.7,37.8,515.31,915.75
115,Irxrwwob,user114@example.com,28,San Antonio,167876.69,true,2024-11-19,819.97,279.31,753.48,419.4
116,Levcqiag,user115@example.com,30,Houston,82849.2,true,2024-12-22,338.26,539.03,76.66,778.15
117,Qzbczsxc,user116@example.com,60,Chicago,68335.82,true,2024-04-17,286.05,774.18,986.75,286.3
118,Yqvzxedm,user117@example.com,22,Phoenix,185419.4,false,2024-02-05,969.0,212.49,401.56,721.37
119,Ihgufzbf,user118@example.com,29,San Diego,84385.32,true,2024-08-08,135.52,743.06,900.07,403.71
120,Nynwvqud,user119@example.com,30,San Diego,107335.31,false,2024-12-10,699.49,310.88,579.48,385.41
121,Aojevsve,user120@example.com,40,New York,55266.9,true,2024-02-09,135.59,143.44,40.5,58.0
122,Jhtizgrr,user121@example.com,44,New York,99607.08,false,2024-05-20,558.46,878.59,582.32,149.5
123,Ofzmxlsz,user122@example.com,54,New York,163411.09,true,2024-07-20,356.05,444.06,636.36,79.96
124,Odgvefvv,user123@example.com,68,New York,84566.93,true,2024-06-12,331.01,985.63,895.3,325.95
125,Gxfntzmd,user124@example.com,25,San Diego,150212.2,false,2024-12-13,804.06,373.56,128.67,961.98
126,Ozrouagx,user125@example.com,31,Los Angeles,95159.12,true,2024-08-23,988.02,937.49,198.8,925.35
127,Dsolypjj,user126@example.com,35,Houston,54738.07,false,2024-01-12,205.61,422.58,145.2,998.13
128,Nqtymmqa,user127@example.com,44,San Antonio,180778.2,true,2024-09-17,510.34,992.62,497.27,837.94
129,Rjcqtcsp,user128@example.com,21,New York,181569.15,true,2024-04-24,197.96,72.76,598.67,697.82
130,Yzjsytsp,user129@example.com,37,Philadelphia,199776.71,true,2024-01-09,380.54,941.46,559.36,288.44
131,Exysjsks,user130@example.com,30,Los Angeles,130259.32,false,2024-05-15,179.89,311.42,297.73,673.31
132,Dwnqmdyd,user131@example.com,54,New York,45058.68,false,2024-02-11,957.56,405.26,259.39,223.22
133,Gdwfxwag,user132@example.com,52,Philadelphia,159512.57,true,2024-08-01,777.96,885.57,199.09,620.72
134,Ypqrupug,user133@example.com,34,Philadelphia,75647.14,false,2024-12-26,561.7,524.4,160.64,940.28
135,Yqmfmlmv,user134@example.com,34,Philadelphia,38299.28,false,2024-04-07,847.63,154.27,903.89,402.5
136,Gauitnwg,user135@example.com,29,Chicago,40419.24,false,2024-06-15,923.51,980.79,79.64,479.97
137,Pliismbx,user136@example.com,48,New York,57819.56,true,2024-10-02,215.95,226.36,745.73,751.35
138,Emnsohkb,user137@example.com,64,Phoenix,176812.59,false,2024-04-04,676.35,336.26,60.23,702.22
139,Kifnkjjx,user138@example.com,59,New York,193905.79,true,2024-04-14,213.08,897.37,996.92,338.13
140,Jxffakmz,user139@example.com,71,Los Angeles,90484.93,true,2024-02-03,895.01,332.73,984.17,404.78
141,Qgxnuvca,user140@example.com,45,Philadelphia,139897.45,true,2024-04-27,586.64,937.13,630.92,325.21
142,Ofrryxec,user141@example.com,64,San Diego,84596.75,true,2024-04-25,656.28,996.31,386.47,280.9
143,Pbftwhou,user142@example.com,31,San Diego,140054.8,false,2024-03-18,264.72,368.72,338.04,569.25
144,Bculmlfk,user143@example.com,21,Los Angeles,177816.36,false,2024-01-11,797.39,988.9,972.12,935.2
145,Jlywarcq,user144@example.com,65,Houston,172077.18,false,2024-08-06,368.96,905.88,529.27,403.56
146,Pjjihdhz,user145@example.com,52,Houston,77911.4,false,2024-12-02,395.14,355.89,269.43,681.55
147,Thxzhoyn,user146@example.com,58,Los Angeles,185631.65,false,2024-08-16,277.18,507.46,756.1,495.58
148,Vjjonczh,user147@example.com,65,San Antonio,33065.31,true,2024-09-21,733.02,594.64,487.13,691.81
149,Jxkdnvyj,user148@example.com,64,San Antonio,40353.57,true,2024-02-09,377.09,841.71,926.16,501.46
150,Ukjjciug,user149@example.com,48,Houston,34753.3,true,2024-06-22,994.98,137.08,318.0,699.33
151,Kttnmjml,user150@example.com,75,Philadelphia,57860.91,false,2024-04-03,116.67,560.78,429.68,178.46
152,Lyzbbnaz,user151@example.com,37,Houston,131409.74,true,2024-04-23,550.19,372.71,723.23,639.1
153,Ifdlbtjs,user152@example.com,55,Phoenix,105341.76,false,2024-07-06,649.62,570.56,345.71,217.97
154,Fzfidlmd,user153@example.com,49,Los Angeles,187949.64,true,2024-06-28,387.71,319.3,938.98,763.98
155,Fcytycdx,user154@example.com,43,Los Angeles,115490.33,true,2024-08-07,527.33,550.11,432.08,807.81
156,Moemlcqa,user155@example.com,71,New York,187671.12,false,2024-10-14,836.48,863.15,747.73,636.67
157,Lhkdxeos,user156@example.com,52,Los Angeles,114263.28,true,2024-06-16,315.66,257.14,654.89,95.75
158,Qlirbzjd,user157@example.com,29,Chicago,127446.41,true,2024-04-03,817.46,703.22,188.25,395.2
159,Tvtkwrsy,user158@example.com,60,Houston,94975.61,true,2024-07-13,218.34,17.42,33.29,318.93
160,Vizcasiz,user159@example.com,51,New York,76700.2,false,2024-01-16,679.03,545.71,82.91,736.6
161,Fybdpuzy,user160@example.com,44,Houston,184922.69,false,2024-11-08,309.24,715.98,359.31,238.92
162,Chnwgwnp,user161@example.com,48,Houston,141748.18,false,2024-11-13,741.7,942.83,858.97,70.19
163,Brytjlpu,user162@example.com,33,Chicago,62766.52,true,2024-05-19,570.78,166.09,475.76,770.67
164,Rfuzylcb,user163@example.com,37,San Antonio,188135.54,true,2024-03-14,889.01,313.6,271.22,138.62
165,Auvoftuu,user164@example.com,50,Los Angeles,180338.39,true,2024-07-02,269.21,703.86,695.54,906.5
166,Oeedfexf,user165@example.com,58,New York,83128.2,false,2024-04-19,726.2,246.73,197.53,301.92
167,Wubgiyqp,user166@example.com,65,San Diego,138837.55,true,2024-07-28,868.99,743.36,306.14,816.45
168,Czpahphy,user167@example.com,31,San Diego,182238.67,true,2024-02-01,851.78,702.7,55.31,291.73
169,Ebaofsvr,user168@example.com,20,Houston,43192.64,true,2024-04-09,112.91,88.67,810.06,144.39
170,Uewdegxf,user169@example.com,60,San Diego,186380.56,true,2024-09-02,824.34,156.57,118.42,100.01
171,Uhxtvpqs,user170@example.com,52,Los Angeles,194157.05,true,2024-05-15,581.43,678.42,873.92,530.24
172,Qcktkqht,user171@example.com,27,Los Angeles,37565.78,true,2024-01-08,800.48,801.36,850.47,716.04
173,Uyeutrzk,user172@example.com,56,Phoenix,79521.59,true,2024-08-04,765.26,67.72,707.94,277.04
174,Mfzxxxuj,user173@example.com,63,Philadelphia,119665.91,false,2024-10-23,332.77,374.2,551.38,195.75
175,Ovuahuwa,user174@example.com,31,Philadelphia,77229.68,false,2024-12-04,561.22,377.34,766.61,945.71
176,Dqfabpac,user175@example.com,40,Los Angeles,133422.39,true,2024-09-03,364.7,805.01,745.09,567.13
177,Obaepwzc,user176@example.com,72,San Diego,149982.96,true,2024-12-02,376.74,68.03,15.78,341.88
178,Sngamvir,user177@example.com,24,Chicago,125842.17,false,2024-08-20,841.3,631.63,104.54,881.42
179,Zvblfmab,user178@example.com,24,Los Angeles,62708.95,false,2024-03-03,399.49,484.32,926.26,486.51
180,Aewpzeof,user179@example.com,26,Los Angeles,38333.74,false,2024-05-09,23.56,285.3,741.05,215.13
181,Usrzfsjr,user180@example.com,56,Phoenix,57107.04,true,2024-12-22,424.78,308.64,547.98,317.88
182,Agxhgyny,user181@example.com,22,San Diego,126512.06,false,2024-04-16,540.33,686.05,423.61,293.36
183,Vauxibpy,user182@example.com,25,San Diego,73260.5,true,2024-01-01,704.77,145.12,847.9,198.42
184,Aqajsryf,user183@example.com,41,San Diego,103892.38,false,2024-09-09,394.54,882.19,581.71,569.89
185,Gjrgrybu,user184@example.com,19,Houston,51471.48,true,2024-12-05,195.58,217.3,26.24,706.08
186,Dhqdhpea,user185@example.com,31,Phoenix,139683.79,false,2024-11-14,759.98,440.53,647.75,420.38
187,Frvqikjr,user186@example.com,25,Houston,171717.97,false,2024-03-28,137.45,357.05,341.21,346.59
188,Ezjtdvcs,user187@example.com,55,Houston,160917.96,true,2024-11-09,896.15,444.04,611.86,338.87
189,Dconszra,user188@example.com,31,Philadelphia,114916.86,true,2024-04-09,147.37,880.98,828.52,895.89
190,Gxlyzxwm,user189@example.com,40,Chicago,42917.29,false,2024-09-20,287.73,194.12,875.08,328.43
191,Venaczsx,user190@example.com,42,Philadelphia,62511.45,false,2024-01-06,687.45,331.47,300.12,837.19
192,Rounexqx,user191@example.com,28,Philadelphia,54233.19,true,2024-03-11,882.87,100.37,119.64,92.02
193,Cbowojfx,user192@example.com,48,San Diego,102738.74,true,2024-03-03,803.72,661.16,75.32,938.97
194,Mtozapjq,user193@example.com,47,San Diego,180036.48,true,2024-03-15,60.67,202.01,280.56,407.72
195,Yolnxaek,user194@example.com,21,Los Angeles,107873.46,false,2024-07-04,749.89,125.75,401.24,445.49
196,Yddgivvs,user195@example.com,45,Phoenix,156683.91,false,2024-10-21,389.27,776.26,341.39,185.57
197,Jejndnca,user196@example.com,41,Houston,147527.39,false,2024-11-10,541.59,687.63,45.59,813.19
198,Viyoafgk,user197@example.com,28,Philadelphia,95852.54,false,2024-08-10,290.32,627.13,36.26,850.29
199,Glpsftdm,user198@example.com,22,Phoenix,190228.3,true,2024-04-01,111.68,78.47,894.52,64.43
200,Wjcfyluq,user199@example.com,46,Phoenix,88207.9,false,2024-08-28,466.08,205.5,893.53,895.44
201,Anwkjvtg,user200@example.com,36,Houston,96651.12,false,2024-01-08,476.58,647.1,378.33,538.75
202,Efjpwmzb,user201@example.com,58,Philadelphia,172548.08,true,2024-05-09,221.8,754.17,470.15,392.2
203,Giuznmgf,user202@example.com,20,San Diego,139610.67,false,2024-03-21,726.86,704.67,93.74,681.34
204,Rclsvzqx,user203@example.com,40,Philadelphia,86072.05,false,2024-06-15,953.8,968.36,863.44,355.58
205,Vagaaiwl,user204@example.com,38,Los Angeles,91274.37,false,2024-03-06,263.69,714.11,738.47,988.41
206,Yasryeyk,user205@example.com,34,Houston,153621.3,false,2024-08-03,830.65,533.11,860.3,366.23
207,Psjlmrwg,user206@example.com,72,Los Angeles,87651.76,true,2024-11-14,527.2,238.37,661.32,365.19
208,Scpmeavy,user207@example.com,39,Philadelphia,194167.59,true,2024-04-01,470.56,331.1,783.4,227.08
209,Rsjwylcr,user208@example.com,51,Philadelphia,156513.14,false,2024-09-14,37.94,621.85,35.19,289.0
210,Nctdbslv,user209@example.com,32,San Antonio,109650.98,false,2024-01-26,671.43,419.82,646.59,470.81
211,Nucvbpst,user210@example.com,20,Houston,54562.91,false,2024-07-11,313.32,14.54,750.01,354.48
212,Mbbvgfkw,user211@example.com,45,Houston,197621.72,false,2024-10-24,166.62,547.45,843.93,648.88
213,Pfvmabyf,user212@example.com,62,Houston,47025.19,true,2024-02-11,141.46,947.21,508.66,333.06
214,Crppipgs,user213@example.com,64,Chicago,47225.37,false,2024-08-21,560.26,521.42,954.24,704.94
215,Uqmexaoe,user214@example.com,47,Houston,161248.78,true,2024-04-27,940.92,665.2,854.9,291.33
216,Wwuanuhb,user215@example.com,47,Houston,142544.33,false,2024-02-27,553.39,12.4,91.85,956.04
217,Axdnxpeb,user216@example.com,75,San Diego,44456.26,false,2024-11-15,537.24,532.79,735.66,169.8
218,Szveduat,user217@example.com,39,New York,126706.59,false,2024-11-16,246.75,315.28,871.68,268.14
219,Vsfzrhaa,user218@example.com,18,Phoenix,138272.78,true,2024-12-06,417.27,249.08,650.33,354.41
220,Fxoqdrlh,user219@example.com,35,Houston,185313.01,false,2024-10-05,456.77,962.05,498.27,414.59
221,Rwjywhnd,user220@example.com,51,San Antonio,164272.92,true,2024-08-09,389.4,826.05,734.38,824.73
222,Pfgvhxbg,user221@example.com,36,San Diego,164031.53,false,2024-06-04,270.18,413.41,750.17,862.75
223,Yggtwlqp,user222@example.com,36,Los Angeles,140616.76,true,2024-06-15,196.64,536.52,743.76,468.38
224,Clvgisqn,user223@example.com,36,Houston,31447.33,false,2024-04-22,919.22,529.32,292.84,642.64
225,Wyaazzbh,user224@example.com,28,Chicago,144447.06,false,2024-03-28,562.21,505.34,95.08,411.99
226,Rerajvad,user225@example.com,26,Chicago,151612.28,false,2024-02-17,53.85,353.7,976.28,259.87
227,Ewyqybvs,user226@example.com,52,Chicago,60204.68,false,2024-09-24,467.54,327.0,684.48,249.61
228,Kwjclxxh,user227@example.com,36,Los Angeles,84153.79,false,2024-10-02,847.86,64.2,95.95,73.46
229,Updccuyb,user228@example.com,75,Houston,62210.88,false,2024-05-26,670.14,890.0,664.62,100.42
230,Iupmvisg,user229@example.com,28,Houston,173684.18,true,2024-04-14,215.13,429.02,601.99,618.1
231,Sitrpsfr,user230@example.com,28,San Antonio,30867.93,true,2024-01-27,192.88,228.33,258.17,976.94
232,Omrwrqdx,user231@example.com,70,Los Angeles,135985.77,false,2024-04-05,365.77,577.23,445.57,846.95
233,Wlmerxxg,user232@example.com,31,Los Angeles,153875.95,false,2024-04-23,587.06,456.84,457.55,533.23
234,Gvuawhom,user233@example.com,38,Los Angeles,47334.45,true,2024-12-22,863.64,500.8,930.04,718.58
235,Gmfsweeb,user234@example.com,29,Houston,182441.82,false,2024-02-23,951.94,272.8,502.51,898.13
236,Tsywkamv,user235@example.com,67,San Antonio,91912.46,true,2024-09-07,98.04,632.78,300.22,367.01
237,Akuaixji,user236@example.com,63,Los Angeles,52462.95,false,2024-04-06,929.98,999.97,693.86,858.79
238,Fibcamsz,user237@example.com,67,Houston,187199.25,false,2024-02-19,776.41,392.6,70.56,878.69
239,Fopqkbwv,user238@example.com,74,Phoenix,74640.98,false,2024-09-20,73.05,988.08,891.92,837.0
240,Shehrtvy,user239@example.com,24,Phoenix,191083.27,false,2024-03-23,171.85,393.25,921.1,746.24
241,Bawablhy,user240@example.com,55,San Diego,143452.64,false,2024-02-12,993.64,398.27,68.33,82.35
242,Crvqmmhr,user241@example.com,47,Philadelphia,159084.04,true,2024-12-17,496.06,603.69,419.03,602.79
243,Wgkgdoxg,user242@example.com,52,Houston,136637.98,true,2024-10-07,758.71,830.31,373.97,996.7
244,Pluytqtd,user243@example.com,63,Phoenix,83523.96,true,2024-03-22,467.04,847.58,933.55,683.97
245,Kjnzgalf,user244@example.com,30,Houston,66554.26,false,2024-06-13,852.5,92.29,561.83,320.32
246,Vbkozwff,user245@example.com,23,San Antonio,144783.47,true,2024-06-04,708.43,936.12,844.58,785.12
247,Xzpoavll,user246@example.com,20,New York,158488.5,true,2024-07-19,436.25,855.83,727.8,338.7
248,Hbcqggpz,user247@example.com,41,Houston,99695.45,true,2024-12-28,833.17,302.43,765.49,460.44
249,Godbjote,user248@example.com,65,San Diego,32236.34,false,2024-03-14,69.49,522.91,719.42,240.48
250,Ucygtzyo,user249@example.com,23,Chicago,191271.43,true,2024-09-20,881.74,710.67,597.44,819.33
251,Zhhwbhct,user250@example.com,32,San Antonio,128320.84,true,2024-05-24,376.17,441.9,471.94,932.08
252,Beewlstj,user251@example.com,55,Houston,129343.57,true,2024-12-05,305.25,143.21,265.89,68.27
253,Fdrygtzs,user252@example.com,45,Houston,145289.1,false,2024-03-24,811.49,460.78,143.9,642.32
